"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,51282,11405,"BPS  Open Water",11405,"EVT  Open Water",11405
"2",1890,7295,4,1,"BPS  Hardwood",890,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",1767
"3",1890,7296,45,10,"BPS  Hardwood",890,"EVT  Developed-Low Intensity",993
"4",1890,7297,15,3,"BPS  Hardwood",890,"EVT  Developed-Medium Intensity",435
"5",1890,7298,9,2,"BPS  Hardwood",890,"EVT  Developed-High Intensity",140
"6",1890,7299,312,69,"BPS  Hardwood",890,"EVT  Developed-Roads",14223
"7",1890,7303,124,28,"BPS  Hardwood",890,"EVT  Hardwood",65300
"8",1890,7370,236,52,"BPS  Hardwood",890,"EVT  Conifer",52236
"9",1890,7511,1706,379,"BPS  Hardwood",890,"EVT  Hardwood",326168
"10",1890,7512,642,143,"BPS  Hardwood",890,"EVT  Conifer-Hardwood",155095
"11",1890,7905,47,10,"BPS  Hardwood",890,"EVT  Developed",11229
"12",1890,7906,10,2,"BPS  Hardwood",890,"EVT  Developed",599
"13",1890,7907,36,8,"BPS  Hardwood",890,"EVT  Developed",3781
"14",1890,7908,53,12,"BPS  Hardwood",890,"EVT  Developed",1132
"15",1890,7909,33,7,"BPS  Hardwood",890,"EVT  Developed",1174
"16",1890,7925,9,2,"BPS  Hardwood",890,"EVT  Developed",393
"17",1890,7926,13,3,"BPS  Hardwood",890,"EVT  Developed",292
"18",1890,7927,19,4,"BPS  Hardwood",890,"EVT  Developed",393
"19",1890,7928,9,2,"BPS  Hardwood",890,"EVT  Developed",98
"20",1890,7929,5,1,"BPS  Hardwood",890,"EVT  Developed",101
"21",1890,7973,1,0,"BPS  Hardwood",890,"EVT  Agricultural",72
"22",1890,7974,27,6,"BPS  Hardwood",890,"EVT  Agricultural",777
"23",1890,7975,10,2,"BPS  Hardwood",890,"EVT  Agricultural",193
"24",1890,7976,5,1,"BPS  Hardwood",890,"EVT  Agricultural",185
"25",1890,7977,240,53,"BPS  Hardwood",890,"EVT  Agricultural",10071
"26",1890,7978,1,0,"BPS  Hardwood",890,"EVT  Agricultural",26
"27",1890,9059,122,27,"BPS  Hardwood",890,"EVT  Riparian",1266
"28",1890,9060,44,10,"BPS  Hardwood",890,"EVT  Riparian",2636
"29",1890,9118,6,1,"BPS  Hardwood",890,"EVT  Riparian",523
"30",1890,9174,42,9,"BPS  Hardwood",890,"EVT  Riparian",3242
"31",1890,9177,5,1,"BPS  Hardwood",890,"EVT  Riparian",5349
"32",1890,9178,2,0,"BPS  Hardwood",890,"EVT  Riparian",485
"33",1890,9312,31,7,"BPS  Hardwood",890,"EVT  Conifer",17558
"34",1890,9314,1,0,"BPS  Hardwood",890,"EVT  Riparian",2
"35",1890,9315,103,23,"BPS  Hardwood",890,"EVT  Conifer-Hardwood",43352
"36",1890,9317,8,2,"BPS  Hardwood",890,"EVT  Exotic Tree-Shrub",2032
"37",1890,9318,6,1,"BPS  Hardwood",890,"EVT  Riparian",165
"38",1890,9559,8,2,"BPS  Hardwood",890,"EVT  Riparian",8
"39",1890,9817,11,2,"BPS  Hardwood",890,"EVT  Exotic Herbaceous",4749
"40",1892,7295,9,2,"BPS  Hardwood",1784,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",1767
"41",1892,7296,40,9,"BPS  Hardwood",1784,"EVT  Developed-Low Intensity",993
"42",1892,7297,18,4,"BPS  Hardwood",1784,"EVT  Developed-Medium Intensity",435
"43",1892,7298,3,1,"BPS  Hardwood",1784,"EVT  Developed-High Intensity",140
"44",1892,7299,174,39,"BPS  Hardwood",1784,"EVT  Developed-Roads",14223
"45",1892,7303,758,169,"BPS  Hardwood",1784,"EVT  Hardwood",65300
"46",1892,7370,384,85,"BPS  Hardwood",1784,"EVT  Conifer",52236
"47",1892,7511,3900,867,"BPS  Hardwood",1784,"EVT  Hardwood",326168
"48",1892,7512,1805,401,"BPS  Hardwood",1784,"EVT  Conifer-Hardwood",155095
"49",1892,7905,140,31,"BPS  Hardwood",1784,"EVT  Developed",11229
"50",1892,7906,11,2,"BPS  Hardwood",1784,"EVT  Developed",599
"51",1892,7907,23,5,"BPS  Hardwood",1784,"EVT  Developed",3781
"52",1892,7908,19,4,"BPS  Hardwood",1784,"EVT  Developed",1132
"53",1892,7909,10,2,"BPS  Hardwood",1784,"EVT  Developed",1174
"54",1892,7925,13,3,"BPS  Hardwood",1784,"EVT  Developed",393
"55",1892,7926,6,1,"BPS  Hardwood",1784,"EVT  Developed",292
"56",1892,7927,7,2,"BPS  Hardwood",1784,"EVT  Developed",393
"57",1892,7928,7,2,"BPS  Hardwood",1784,"EVT  Developed",98
"58",1892,7929,5,1,"BPS  Hardwood",1784,"EVT  Developed",101
"59",1892,7977,49,11,"BPS  Hardwood",1784,"EVT  Agricultural",10071
"60",1892,9060,1,0,"BPS  Hardwood",1784,"EVT  Riparian",2636
"61",1892,9174,1,0,"BPS  Hardwood",1784,"EVT  Riparian",3242
"62",1892,9177,2,0,"BPS  Hardwood",1784,"EVT  Riparian",5349
"63",1892,9312,175,39,"BPS  Hardwood",1784,"EVT  Conifer",17558
"64",1892,9315,441,98,"BPS  Hardwood",1784,"EVT  Conifer-Hardwood",43352
"65",1892,9317,3,1,"BPS  Hardwood",1784,"EVT  Exotic Tree-Shrub",2032
"66",1892,9817,19,4,"BPS  Hardwood",1784,"EVT  Exotic Herbaceous",4749
"67",1894,7303,62,14,"BPS  Hardwood-Conifer",27,"EVT  Hardwood",65300
"68",1894,7370,1,0,"BPS  Hardwood-Conifer",27,"EVT  Conifer",52236
"69",1894,7511,43,10,"BPS  Hardwood-Conifer",27,"EVT  Hardwood",326168
"70",1894,7512,14,3,"BPS  Hardwood-Conifer",27,"EVT  Conifer-Hardwood",155095
"71",1895,7295,143,32,"BPS  Hardwood-Conifer",84576,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",1767
"72",1895,7296,359,80,"BPS  Hardwood-Conifer",84576,"EVT  Developed-Low Intensity",993
"73",1895,7297,65,14,"BPS  Hardwood-Conifer",84576,"EVT  Developed-Medium Intensity",435
"74",1895,7298,10,2,"BPS  Hardwood-Conifer",84576,"EVT  Developed-High Intensity",140
"75",1895,7299,5854,1302,"BPS  Hardwood-Conifer",84576,"EVT  Developed-Roads",14223
"76",1895,7303,111623,24824,"BPS  Hardwood-Conifer",84576,"EVT  Hardwood",65300
"77",1895,7370,15748,3502,"BPS  Hardwood-Conifer",84576,"EVT  Conifer",52236
"78",1895,7511,112372,24991,"BPS  Hardwood-Conifer",84576,"EVT  Hardwood",326168
"79",1895,7512,78123,17374,"BPS  Hardwood-Conifer",84576,"EVT  Conifer-Hardwood",155095
"80",1895,7905,4937,1098,"BPS  Hardwood-Conifer",84576,"EVT  Developed",11229
"81",1895,7906,247,55,"BPS  Hardwood-Conifer",84576,"EVT  Developed",599
"82",1895,7907,1395,310,"BPS  Hardwood-Conifer",84576,"EVT  Developed",3781
"83",1895,7908,431,96,"BPS  Hardwood-Conifer",84576,"EVT  Developed",1132
"84",1895,7909,388,86,"BPS  Hardwood-Conifer",84576,"EVT  Developed",1174
"85",1895,7925,289,64,"BPS  Hardwood-Conifer",84576,"EVT  Developed",393
"86",1895,7926,101,22,"BPS  Hardwood-Conifer",84576,"EVT  Developed",292
"87",1895,7927,199,44,"BPS  Hardwood-Conifer",84576,"EVT  Developed",393
"88",1895,7928,18,4,"BPS  Hardwood-Conifer",84576,"EVT  Developed",98
"89",1895,7929,13,3,"BPS  Hardwood-Conifer",84576,"EVT  Developed",101
"90",1895,7973,200,44,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",72
"91",1895,7974,923,205,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",777
"92",1895,7975,258,57,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",193
"93",1895,7976,76,17,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",185
"94",1895,7977,7819,1739,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",10071
"95",1895,7978,21,5,"BPS  Hardwood-Conifer",84576,"EVT  Agricultural",26
"96",1895,9059,20,4,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",1266
"97",1895,9060,1,0,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",2636
"98",1895,9118,11,2,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",523
"99",1895,9120,2,0,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",540
"100",1895,9174,73,16,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",3242
"101",1895,9177,163,36,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",5349
"102",1895,9178,11,2,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",485
"103",1895,9312,6041,1343,"BPS  Hardwood-Conifer",84576,"EVT  Conifer",17558
"104",1895,9315,30283,6735,"BPS  Hardwood-Conifer",84576,"EVT  Conifer-Hardwood",43352
"105",1895,9317,598,133,"BPS  Hardwood-Conifer",84576,"EVT  Exotic Tree-Shrub",2032
"106",1895,9620,3,1,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",86
"107",1895,9677,8,2,"BPS  Hardwood-Conifer",84576,"EVT  Riparian",332
"108",1895,9817,1473,328,"BPS  Hardwood-Conifer",84576,"EVT  Exotic Herbaceous",4749
"109",1896,7295,6982,1553,"BPS  Hardwood",573244,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",1767
"110",1896,7296,3231,719,"BPS  Hardwood",573244,"EVT  Developed-Low Intensity",993
"111",1896,7297,1444,321,"BPS  Hardwood",573244,"EVT  Developed-Medium Intensity",435
"112",1896,7298,456,101,"BPS  Hardwood",573244,"EVT  Developed-High Intensity",140
"113",1896,7299,46521,10346,"BPS  Hardwood",573244,"EVT  Developed-Roads",14223
"114",1896,7303,170338,37882,"BPS  Hardwood",573244,"EVT  Hardwood",65300
"115",1896,7370,180466,40135,"BPS  Hardwood",573244,"EVT  Conifer",52236
"116",1896,7511,1268049,282008,"BPS  Hardwood",573244,"EVT  Hardwood",326168
"117",1896,7512,553680,123136,"BPS  Hardwood",573244,"EVT  Conifer-Hardwood",155095
"118",1896,7905,41674,9268,"BPS  Hardwood",573244,"EVT  Developed",11229
"119",1896,7906,1837,409,"BPS  Hardwood",573244,"EVT  Developed",599
"120",1896,7907,13009,2893,"BPS  Hardwood",573244,"EVT  Developed",3781
"121",1896,7908,3963,881,"BPS  Hardwood",573244,"EVT  Developed",1132
"122",1896,7909,4359,969,"BPS  Hardwood",573244,"EVT  Developed",1174
"123",1896,7925,1223,272,"BPS  Hardwood",573244,"EVT  Developed",393
"124",1896,7926,922,205,"BPS  Hardwood",573244,"EVT  Developed",292
"125",1896,7927,1039,231,"BPS  Hardwood",573244,"EVT  Developed",393
"126",1896,7928,332,74,"BPS  Hardwood",573244,"EVT  Developed",98
"127",1896,7929,285,63,"BPS  Hardwood",573244,"EVT  Developed",101
"128",1896,7970,7,2,"BPS  Hardwood",573244,"EVT  Agricultural",2
"129",1896,7971,6,1,"BPS  Hardwood",573244,"EVT  Agricultural",1
"130",1896,7973,105,23,"BPS  Hardwood",573244,"EVT  Agricultural",72
"131",1896,7974,2274,506,"BPS  Hardwood",573244,"EVT  Agricultural",777
"132",1896,7975,548,122,"BPS  Hardwood",573244,"EVT  Agricultural",193
