Past,EVT,ACRES
Past Hardwood,Hardwood,321333
Past Hardwood,Conifer-Hardwood,157569
Past Hardwood,Conifer,53904
Past Hardwood,Developed,28549
Past Hardwood,Agricultural,8031
Past Hardwood,Exotics,4964
Past Hardwood,Riparian,1563
Past Hardwood-Conifer,Hardwood,49851
Past Hardwood-Conifer,Conifer-Hardwood,24112
Past Hardwood-Conifer,Conifer,4845
Past Hardwood-Conifer,Developed,3212
Past Hardwood-Conifer,Agricultural,2067
Past Hardwood-Conifer,Exotics,461
Past Hardwood-Conifer,Riparian,63
Past Riparian,Hardwood,20285
Past Riparian,Conifer-Hardwood,16766
Past Riparian,Riparian,13270
Past Riparian,Conifer,11044
Past Riparian,Developed,4984
Past Riparian,Exotics,1356
Past Riparian,Agricultural,1227
