"","count","bps_value","scl_value","bps_name","model_code","ref_label","model_label","ref_percent","current_percent","total_count"
"1",9,1890,1,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","A","13020_63_A",2,0,4000
"2",146,1890,2,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","B","13020_63_B",4,3,4000
"3",575,1890,3,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","C","13020_63_C",14,14,4000
"4",NA,NA,NA,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","D","13020_63_D",76,0,0
"5",1814,1890,5,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","E","13020_63_E",4,45,4000
"6",284,1890,180,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","Agriculture","13020_63_Agriculture",0,7,4000
"7",560,1890,120,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","Developed","13020_63_Developed",0,14,4000
"8",NA,NA,NA,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","Water","13020_63_Water",0,0,0
"9",393,1890,6,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","UN","13020_63_UN",0,9,4000
"10",215,1890,7,"Laurentian-Acadian Northern Hardwoods Forest","13020_63","UE","13020_63_UE",0,5,4000
"11",57,1892,1,"South-Central Interior Mesophytic Forest","13210_61_63","A","13210_61_63_A",2,0,8023
"12",4017,1892,2,"South-Central Interior Mesophytic Forest","13210_61_63","B","13210_61_63_B",8,50,8023
"13",NA,NA,NA,"South-Central Interior Mesophytic Forest","13210_61_63","C","13210_61_63_C",5,0,0
"14",NA,NA,NA,"South-Central Interior Mesophytic Forest","13210_61_63","D","13210_61_63_D",3,0,0
"15",NA,NA,NA,"South-Central Interior Mesophytic Forest","13210_61_63","E","13210_61_63_E",82,0,0
"16",49,1892,180,"South-Central Interior Mesophytic Forest","13210_61_63","Agriculture","13210_61_63_Agriculture",0,0,8023
"17",438,1892,120,"South-Central Interior Mesophytic Forest","13210_61_63","Developed","13210_61_63_Developed",0,5,8023
"18",NA,NA,NA,"South-Central Interior Mesophytic Forest","13210_61_63","Water","13210_61_63_Water",0,0,0
"19",2777,1892,6,"South-Central Interior Mesophytic Forest","13210_61_63","UN","13210_61_63_UN",0,34,8023
"20",676,1892,7,"South-Central Interior Mesophytic Forest","13210_61_63","UE","13210_61_63_UE",0,8,8023
"21",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","A","13660_51_63_64_65_66_A",3,0,0
"22",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","B","13660_51_63_64_65_66_B",16,0,0
"23",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","C","13660_51_63_64_65_66_C",39,0,0
"24",120,1894,4,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","D","13660_51_63_64_65_66_D",42,100,120
"25",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Agriculture","13660_51_63_64_65_66_Agriculture",0,0,0
"26",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Developed","13660_51_63_64_65_66_Developed",0,0,0
"27",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","Water","13660_51_63_64_65_66_Water",0,0,0
"28",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","UN","13660_51_63_64_65_66_UN",0,0,0
"29",NA,NA,NA,"Laurentian-Acadian Pine-Hemlock-Hardwood Forest","13660_51_63_64_65_66","UE","13660_51_63_64_65_66_UE",0,0,0
"30",4942,1895,1,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","A","13690_60_61_63_64_65_66_A",11,1,380299
"31",65514,1895,2,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","B","13690_60_61_63_64_65_66_B",15,17,380299
"32",246591,1895,3,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","C","13690_60_61_63_64_65_66_C",12,64,380299
"33",NA,NA,NA,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","D","13690_60_61_63_64_65_66_D",42,0,0
"34",NA,NA,NA,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","E","13690_60_61_63_64_65_66_E",20,0,0
"35",9297,1895,180,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Agriculture","13690_60_61_63_64_65_66_Agriculture",0,2,380299
"36",13686,1895,120,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Developed","13690_60_61_63_64_65_66_Developed",0,3,380299
"37",NA,NA,NA,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","Water","13690_60_61_63_64_65_66_Water",0,0,0
"38",1111,1895,6,"Central Appalachian Dry Oak-Pine Forest","13690_60_61_63_64_65_66","UN","13690_60_61_63_64_65_66_UN",0,0,380299
