"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1896,2577597,13700,63,"13700_60_63_64_65_66","Appalachian (Hemlock-)Northern Hardwood Forest","Hardwood",1010,1122,-9999,531,53,47,-9999,"V-B",214,255,145,0.839216,1,0.568627,573244,77.4
"2",1895,380299,13690,63,"13690_60_61_63_64_65_66","Central Appalachian Dry Oak-Pine Forest","Hardwood-Conifer",182,463,15,14,8,3,89,"I-B",0,255,220,0,1,0.862745,84576,11.4
"3",1901,205586,14720,63,"14720_61_62_63","Central Interior and Appalachian Riparian Systems","Riparian",1001,-9999,200,166,17,-9999,83,"III-B",36,255,20,0.141176,1,0.078431,45721,6.2
"4",1902,84791,14750,63,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",-9999,435,68,59,-9999,14,86,"III-A",122,143,245,0.478431,0.560784,0.960784,18857,2.5
"5",11,51282,11,0,"0","Open Water","Open Water",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",0,0,255,0,0,1,11405,1.5
"6",1904,19117,14790,63,"14790_60_61_63_64_65_66","Central Interior and Appalachian Swamp Systems","Riparian",1011,-9999,1353,578,57,-9999,43,"V-B",207,61,255,0.811765,0.239216,1,4252,0.6
"7",1892,8023,13210,63,"13210_61_63","South-Central Interior Mesophytic Forest","Hardwood",847,573,102,78,9,14,77,"III-A",71,135,148,0.278431,0.529412,0.580392,1784,0.2
"8",1890,4000,13020,63,"13020_63","Laurentian-Acadian Northern Hardwoods Forest","Hardwood",2021,-9999,-9999,2021,100,-9999,-9999,"V-B",76,230,0,0.298039,0.901961,0,890,0.1
"9",1894,120,13660,63,"13660_51_63_64_65_66","Laurentian-Acadian Pine-Hemlock-Hardwood Forest","Hardwood-Conifer",482,998,289,153,32,15,53,"III-B",208,255,99,0.815686,1,0.388235,27,0
"10",1898,55,13770,63,"13770_60_61_63_64_65_66","Central Appalachian Pine-Oak Rocky Woodland","Hardwood-Conifer",412,384,4645,190,46,50,4,"III-B",255,0,77,1,0,0.301961,12,0
"11",1903,473,14770,63,"14770_63_64_65_66","Boreal Acidic Peatland Systems","Riparian",935,-9999,170,144,15,-9999,85,"III-B",106,0,138,0.415686,0,0.541176,105,0
