"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,51282,"Open Water",0,0,255,0,0,1,11405,1.5
"2",13,50491,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,11229,1.5
"3",14,2693,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,599,0.1
"4",15,17003,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,3781,0.5
"5",16,5091,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,1132,0.2
"6",17,5278,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1174,0.2
"7",22,4464,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,993,0.1
"8",23,1957,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,435,0.1
"9",24,628,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,140,0
"10",25,63954,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,14223,1.9
"11",32,7947,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,1767,0.2
"12",61,6,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,1,0
"13",63,323,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,72,0
"14",64,3495,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,777,0.1
"15",65,868,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,193,0
"16",68,117,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,26,0
"17",101,26,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,6,0
"18",102,206,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,46,0
"19",103,924,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,205,0
"20",104,1817,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,404,0.1
"21",105,3510,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,781,0.1
"22",106,6053,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,1346,0.2
"23",107,9363,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,2082,0.3
"24",108,21919,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,4875,0.7
"25",109,18776,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,4176,0.6
"26",110,25272,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,5620,0.8
"27",111,32338,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,7192,1
"28",112,41029,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,9125,1.2
"29",113,51413,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,11434,1.5
"30",114,65191,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,14498,2
"31",115,86229,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,19177,2.6
"32",116,120856,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,26878,3.6
"33",117,178049,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,39597,5.3
"34",118,490862,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,109165,14.7
"35",119,368739,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,82006,11.1
"36",120,432845,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,96262,13
"37",121,414275,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,92133,12.4
"38",122,321944,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,71599,9.7
"39",123,206323,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,45885,6.2
"40",124,125913,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,28002,3.8
"41",125,2998,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,667,0.1
"42",126,2,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,0,0
"43",203,2,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,0,0
"44",205,1,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,0,0
"45",206,8,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,2,0
"46",207,3,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,1,0
"47",208,65,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,14,0
"48",209,9,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,2,0
"49",210,9,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,2,0
"50",211,15,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,3,0
"51",212,25,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,6,0
"52",213,21,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,5,0
"53",214,32,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,7,0
"54",215,1625,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,361,0
"55",216,48,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,11,0
"56",217,28,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,6,0
"57",218,50,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,11,0
"58",219,53,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,12,0
"59",220,76,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,17,0
"60",221,67,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,15,0
"61",222,86,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,19,0
"62",223,59,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,13,0
"63",224,65,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,14,0
"64",225,46,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,10,0
"65",226,64,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,14,0
"66",227,36,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,8,0
"67",228,68,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,15,0
"68",229,47,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,10,0
"69",230,9991,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,2222,0.3
"70",301,2639,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,587,0.1
"71",302,1273,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,283,0
"72",303,25642,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,5703,0.8
"73",306,227,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,50,0
"74",307,1064,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,237,0
"75",308,2580,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,574,0.1
"76",309,2866,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,637,0.1
"77",310,39984,"Herb Height >= 1 meter",255,51,0,1,0.2,0,8892,1.2
